ID,answer
TG_A_J_20230304,1864.0
TG_A_J_20230305,0.0
TG_A_J_20230306,1837.0
TG_A_J_20230307,1595.0
TG_A_J_20230308,1747.0
TG_A_J_20230309,2102.0
TG_A_J_20230310,1458.0
TG_A_J_20230311,1990.0
TG_A_J_20230312,0.0
TG_A_J_20230313,2287.0
TG_A_J_20230314,2345.0
TG_A_J_20230315,1760.0
TG_A_J_20230316,2325.0
TG_A_J_20230317,2392.0
TG_A_J_20230318,2404.0
TG_A_J_20230319,0.0
TG_A_J_20230320,2362.0
TG_A_J_20230321,2433.0
TG_A_J_20230322,2813.0
TG_A_J_20230323,2770.0
TG_A_J_20230324,2633.0
TG_A_J_20230325,3155.0
TG_A_J_20230326,0.0
TG_A_J_20230327,2657.0
TG_A_J_20230328,3922.0
TG_A_J_20230329,3397.0
TG_A_J_20230330,3195.0
TG_A_J_20230331,3640.0
TG_A_S_20230304,2656.0
TG_A_S_20230305,0.0
TG_A_S_20230306,2312.0
TG_A_S_20230307,2024.0
TG_A_S_20230308,2874.0
TG_A_S_20230309,2890.0
TG_A_S_20230310,2657.0
TG_A_S_20230311,2605.0
TG_A_S_20230312,0.0
TG_A_S_20230313,2811.0
TG_A_S_20230314,2850.0
TG_A_S_20230315,2677.0
TG_A_S_20230316,2793.0
TG_A_S_20230317,3526.0
TG_A_S_20230318,3286.0
TG_A_S_20230319,0.0
TG_A_S_20230320,3243.0
TG_A_S_20230321,4081.0
TG_A_S_20230322,3444.0
TG_A_S_20230323,3481.0
TG_A_S_20230324,3518.0
TG_A_S_20230325,4201.0
TG_A_S_20230326,0.0
TG_A_S_20230327,4166.0
TG_A_S_20230328,4009.0
TG_A_S_20230329,4173.0
TG_A_S_20230330,4219.0
TG_A_S_20230331,4089.0
TG_B_J_20230304,1839.0
TG_B_J_20230305,0.0
TG_B_J_20230306,1410.0
TG_B_J_20230307,1322.0
TG_B_J_20230308,2316.0
TG_B_J_20230309,4293.0
TG_B_J_20230310,5667.0
TG_B_J_20230311,2691.0
TG_B_J_20230312,0.0
TG_B_J_20230313,1748.0
TG_B_J_20230314,2368.0
TG_B_J_20230315,1400.0
TG_B_J_20230316,1589.0
TG_B_J_20230317,1999.0
TG_B_J_20230318,3862.0
TG_B_J_20230319,0.0
TG_B_J_20230320,4848.0
TG_B_J_20230321,2874.0
TG_B_J_20230322,4175.0
TG_B_J_20230323,6216.0
TG_B_J_20230324,3558.0
TG_B_J_20230325,2412.0
TG_B_J_20230326,0.0
TG_B_J_20230327,3540.0
TG_B_J_20230328,3141.0
TG_B_J_20230329,6382.0
TG_B_J_20230330,3558.0
TG_B_J_20230331,3470.0
TG_B_S_20230304,1884.0
TG_B_S_20230305,0.0
TG_B_S_20230306,1897.0
TG_B_S_20230307,1988.0
TG_B_S_20230308,1711.0
TG_B_S_20230309,2241.0
TG_B_S_20230310,2637.0
TG_B_S_20230311,2659.0
TG_B_S_20230312,0.0
TG_B_S_20230313,2561.0
TG_B_S_20230314,2302.0
TG_B_S_20230315,2324.0
TG_B_S_20230316,2461.0
TG_B_S_20230317,3017.0
TG_B_S_20230318,3332.0
TG_B_S_20230319,0.0
TG_B_S_20230320,3326.0
TG_B_S_20230321,3299.0
TG_B_S_20230322,3202.0
TG_B_S_20230323,3478.0
TG_B_S_20230324,3939.0
TG_B_S_20230325,3677.0
TG_B_S_20230326,0.0
TG_B_S_20230327,4057.0
TG_B_S_20230328,3821.0
TG_B_S_20230329,4037.0
TG_B_S_20230330,4004.0
TG_B_S_20230331,4241.0
TG_C_J_20230304,2542.0
TG_C_J_20230305,0.0
TG_C_J_20230306,2366.0
TG_C_J_20230307,2553.0
TG_C_J_20230308,2785.0
TG_C_J_20230309,2146.0
TG_C_J_20230310,3632.0
TG_C_J_20230311,3246.0
TG_C_J_20230312,0.0
TG_C_J_20230313,2956.0
TG_C_J_20230314,2665.0
TG_C_J_20230315,3794.0
TG_C_J_20230316,4991.0
TG_C_J_20230317,6014.0
TG_C_J_20230318,6841.0
TG_C_J_20230319,0.0
TG_C_J_20230320,4559.0
TG_C_J_20230321,8500.0
TG_C_J_20230322,4017.0
TG_C_J_20230323,4585.0
TG_C_J_20230324,4835.0
TG_C_J_20230325,5550.0
TG_C_J_20230326,0.0
