ID,answer
TG_A_J_20230304,1208.6695996301025
TG_A_J_20230305,696.8443767664533
TG_A_J_20230306,1341.2125927134966
TG_A_J_20230307,1319.8227051223319
TG_A_J_20230308,1323.9590254967195
TG_A_J_20230309,1385.2274524577863
TG_A_J_20230310,1343.3550896966353
TG_A_J_20230311,1255.807009359932
TG_A_J_20230312,748.0534126764094
TG_A_J_20230313,1397.0344650507623
TG_A_J_20230314,1383.0793340519194
TG_A_J_20230315,1396.062468335817
TG_A_J_20230316,1467.0055006171174
TG_A_J_20230317,1434.5478171787804
TG_A_J_20230318,1355.5657071952423
TG_A_J_20230319,854.5206396451254
TG_A_J_20230320,1509.8798733866033
TG_A_J_20230321,1498.5606999776078
TG_A_J_20230322,1512.0590619472641
TG_A_J_20230323,1582.0937391096631
TG_A_J_20230324,1552.4057851264713
TG_A_J_20230325,1475.2675121009725
TG_A_J_20230326,974.2300652205436
TG_A_J_20230327,1627.8780335198621
TG_A_J_20230328,1614.3828536342712
TG_A_J_20230329,1617.4362545590584
TG_A_J_20230330,1675.705485282004
TG_A_J_20230331,1632.1502512788322
TG_A_S_20230304,1208.1460776223587
TG_A_S_20230305,420.72168423451865
TG_A_S_20230306,1299.4811221608757
TG_A_S_20230307,1294.2599356867645
TG_A_S_20230308,1301.919540140522
TG_A_S_20230309,1314.4710247052353
TG_A_S_20230310,1299.7198728759881
TG_A_S_20230311,1251.214941742975
TG_A_S_20230312,453.4617004228864
TG_A_S_20230313,1345.808467326824
TG_A_S_20230314,1344.4671800231713
TG_A_S_20230315,1359.1793647133259
TG_A_S_20230316,1378.6828910781505
TG_A_S_20230317,1371.1232944833664
TG_A_S_20230318,1329.4589644920509
TG_A_S_20230319,535.1612684834971
TG_A_S_20230320,1432.069648193005
TG_A_S_20230321,1432.5724927817623
TG_A_S_20230322,1445.8601554313968
TG_A_S_20230323,1465.577777307608
TG_A_S_20230324,1460.092953157355
TG_A_S_20230325,1420.172790396253
TG_A_S_20230326,627.1504634617277
TG_A_S_20230327,1523.4053068696523
TG_A_S_20230328,1523.6685864865935
TG_A_S_20230329,1529.9334367032393
TG_A_S_20230330,1535.5442110166277
TG_A_S_20230331,1518.936734088715
TG_B_J_20230304,1061.4589010833406
TG_B_J_20230305,397.8903067379887
TG_B_J_20230306,1167.3645110461937
TG_B_J_20230307,1185.3545395560486
TG_B_J_20230308,1159.6381333150125
TG_B_J_20230309,1174.8825067826406
TG_B_J_20230310,1179.2808836721308
TG_B_J_20230311,1030.517524982389
TG_B_J_20230312,399.13257578982905
TG_B_J_20230313,1140.23026565088
TG_B_J_20230314,1165.7597374153006
TG_B_J_20230315,1146.4664529948852
TG_B_J_20230316,1174.1631445742073
TG_B_J_20230317,1192.3252652776446
TG_B_J_20230318,1058.5030603191829
TG_B_J_20230319,410.96520759454074
TG_B_J_20230320,1199.50608786703
TG_B_J_20230321,1242.1056791705498
TG_B_J_20230322,1239.74272128514
TG_B_J_20230323,1283.2018043922078
TG_B_J_20230324,1317.2892498062265
TG_B_J_20230325,1197.8617306727244
TG_B_J_20230326,547.1388109107932
TG_B_J_20230327,1361.7018938399992
TG_B_J_20230328,1408.894014107477
TG_B_J_20230329,1406.6134222475616
TG_B_J_20230330,1444.8519130356408
TG_B_J_20230331,1473.921909410236
TG_B_S_20230304,761.9712346044138
TG_B_S_20230305,68.17999747082804
TG_B_S_20230306,813.2217993254396
TG_B_S_20230307,880.7998146116338
TG_B_S_20230308,835.6653509874883
TG_B_S_20230309,855.5656304242343
TG_B_S_20230310,846.9523684766401
TG_B_S_20230311,787.9130539253845
TG_B_S_20230312,93.337874583537
TG_B_S_20230313,838.7934338851381
TG_B_S_20230314,907.9758340576197
TG_B_S_20230315,878.9868437358589
TG_B_S_20230316,903.189351642639
TG_B_S_20230317,899.8569283024871
TG_B_S_20230318,846.9375281834716
TG_B_S_20230319,159.15474033119102
TG_B_S_20230320,911.8858081377167
TG_B_S_20230321,971.6550847278506
TG_B_S_20230322,949.6668047331499
TG_B_S_20230323,980.6765077741032
TG_B_S_20230324,983.7286112783034
TG_B_S_20230325,936.5468740014209
TG_B_S_20230326,253.64166568536686
TG_B_S_20230327,1010.1937955741664
TG_B_S_20230328,1089.517699687125
TG_B_S_20230329,1069.3478779544391
TG_B_S_20230330,1100.7043719327196
TG_B_S_20230331,1102.5518432103881
TG_C_J_20230304,1233.8056476493048
TG_C_J_20230305,386.7265311404
TG_C_J_20230306,1242.4092431174802
TG_C_J_20230307,1284.3172275542045
TG_C_J_20230308,1295.8409443613305
TG_C_J_20230309,1264.7562247677222
TG_C_J_20230310,1326.4332815624039
TG_C_J_20230311,1282.8568657599612
TG_C_J_20230312,384.2518168063074
TG_C_J_20230313,1316.906366740168
TG_C_J_20230314,1373.5034339573956
TG_C_J_20230315,1402.2409454543115
TG_C_J_20230316,1388.2717844927545
TG_C_J_20230317,1465.8908867245564
TG_C_J_20230318,1429.7169025694434
TG_C_J_20230319,508.3878394134784
TG_C_J_20230320,1477.2018252734865
TG_C_J_20230321,1533.1711370994874
TG_C_J_20230322,1555.8058179589052
TG_C_J_20230323,1535.1924762993212
TG_C_J_20230324,1604.388225974344
TG_C_J_20230325,1564.4965589107994
TG_C_J_20230326,633.9294712553265
TG_C_J_20230327,1588.0110114236131
TG_C_J_20230328,1630.518929640547
TG_C_J_20230329,1631.4996615848706
TG_C_J_20230330,1586.5633163642856
TG_C_J_20230331,1634.1212337664404
TG_C_S_20230304,771.494921038296
TG_C_S_20230305,48.99967334381954
TG_C_S_20230306,890.0313498306267
TG_C_S_20230307,888.1462681722261
TG_C_S_20230308,879.2024726791177
TG_C_S_20230309,897.5752526166517
TG_C_S_20230310,880.3655793511118
TG_C_S_20230311,816.846418607235
TG_C_S_20230312,85.65511049445954
TG_C_S_20230313,931.2852830989137
TG_C_S_20230314,950.411957817072
TG_C_S_20230315,947.6426704293538
TG_C_S_20230316,972.370163126393
TG_C_S_20230317,961.4413359586922
TG_C_S_20230318,903.866532731061
TG_C_S_20230319,190.96286508517144
TG_C_S_20230320,1041.5456366771048
TG_C_S_20230321,1064.5485381422786
TG_C_S_20230322,1064.3656826359227
TG_C_S_20230323,1090.2083025127067
TG_C_S_20230324,1078.7803341993267
TG_C_S_20230325,1018.9933297446911
TG_C_S_20230326,302.11421683071444
TG_C_S_20230327,1146.959813323275
TG_C_S_20230328,1162.5186578580146
TG_C_S_20230329,1153.2931555173523
TG_C_S_20230330,1168.6548302416127
TG_C_S_20230331,1145.5169288676198
TG_D_J_20230304,814.6396958329437
TG_D_J_20230305,391.79311234114675
TG_D_J_20230306,962.2874341220703
TG_D_J_20230307,920.9768441362867
TG_D_J_20230308,978.0861272679474
TG_D_J_20230309,910.4303694321915
TG_D_J_20230310,943.5928225377512
TG_D_J_20230311,848.8797606215362
TG_D_J_20230312,393.7802007186089
TG_D_J_20230313,1003.3386882676077
TG_D_J_20230314,967.3838565705307
TG_D_J_20230315,1030.797961524939
TG_D_J_20230316,968.644003405108
TG_D_J_20230317,1009.5396698498398
TG_D_J_20230318,922.1876992599118
TG_D_J_20230319,414.82809056369314
TG_D_J_20230320,1082.9047666779431
TG_D_J_20230321,1047.7504245429184
TG_D_J_20230322,1108.609525036553
TG_D_J_20230323,1045.7105940467454
TG_D_J_20230324,1083.5912078699325
TG_D_J_20230325,992.5217328948834
TG_D_J_20230326,430.56782515768475
TG_D_J_20230327,1142.201171962341
TG_D_J_20230328,1099.5253685133646
TG_D_J_20230329,1149.7092069235905
TG_D_J_20230330,1068.33925171498
TG_D_J_20230331,1089.384841855926
TG_D_S_20230304,1191.804552137179
TG_D_S_20230305,490.2810121259959
TG_D_S_20230306,1282.5024568737274
TG_D_S_20230307,1338.6967718631927
TG_D_S_20230308,1291.9660640544425
TG_D_S_20230309,1311.0859815233928
TG_D_S_20230310,1318.7614348794143
TG_D_S_20230311,1241.293552148228
TG_D_S_20230312,535.2158729053241
TG_D_S_20230313,1323.3114073517804
TG_D_S_20230314,1378.2107918549746
TG_D_S_20230315,1331.0513907918132
