ID,answer
TG_A_J_20230304,3984.7407671464503
TG_A_J_20230305,1434.128770246868
TG_A_J_20230306,4582.752208005328
TG_A_J_20230307,4483.970185329934
TG_A_J_20230308,4510.575248588993
TG_A_J_20230309,4827.730941975993
TG_A_J_20230310,4632.354589439042
TG_A_J_20230311,4204.563576769673
TG_A_J_20230312,1672.0644747545343
TG_A_J_20230313,4843.105356174892
TG_A_J_20230314,4770.398739257205
TG_A_J_20230315,4825.957342201697
TG_A_J_20230316,5174.052680809022
TG_A_J_20230317,5010.622306523917
TG_A_J_20230318,4614.7433018100855
TG_A_J_20230319,2113.050635075542
TG_A_J_20230320,5312.719927318225
TG_A_J_20230321,5265.421223240021
TG_A_J_20230322,5342.185094594855
TG_A_J_20230323,5706.390258215051
TG_A_J_20230324,5553.197686749211
TG_A_J_20230325,5161.048063100032
TG_A_J_20230326,2656.1004899012078
TG_A_J_20230327,5845.231409194324
TG_A_J_20230328,5779.999839910539
TG_A_J_20230329,5831.519900645798
TG_A_J_20230330,6163.449576372874
TG_A_J_20230331,5971.420625898123
TG_A_S_20230304,3928.694467883418
TG_A_S_20230305,-60.4250262956366
TG_A_S_20230306,4318.668240834788
TG_A_S_20230307,4302.500248393308
TG_A_S_20230308,4350.376860132273
TG_A_S_20230309,4423.447759320338
TG_A_S_20230310,4366.088153486373
TG_A_S_20230311,4134.866844956677
TG_A_S_20230312,148.23608488232264
TG_A_S_20230313,4534.288759005549
TG_A_S_20230314,4529.091125708249
TG_A_S_20230315,4591.357591908392
TG_A_S_20230316,4681.534535319425
TG_A_S_20230317,4643.205130061275
TG_A_S_20230318,4432.083077089969
TG_A_S_20230319,465.7298927128046
TG_A_S_20230320,4871.340490021577
TG_A_S_20230321,4884.104436395408
TG_A_S_20230322,4961.908534387634
TG_A_S_20230323,5064.446920565905
TG_A_S_20230324,5034.649872370889
TG_A_S_20230325,4827.698526771207
TG_A_S_20230326,860.7595558856375
TG_A_S_20230327,5260.784031943191
TG_A_S_20230328,5262.877483602133
TG_A_S_20230329,5325.006540105363
TG_A_S_20230330,5407.108245488906
TG_A_S_20230331,5352.513260502506
TG_B_J_20230304,3304.6515622318166
TG_B_J_20230305,-78.16437055983533
TG_B_J_20230306,3776.319123239154
TG_B_J_20230307,3881.0370064834638
TG_B_J_20230308,3754.714267557991
TG_B_J_20230309,3847.133482186297
TG_B_J_20230310,3881.365422366564
TG_B_J_20230311,3148.1544866003114
TG_B_J_20230312,-233.41526571114173
TG_B_J_20230313,3634.2147725994582
TG_B_J_20230314,3763.8643995590983
TG_B_J_20230315,3673.828895672715
TG_B_J_20230316,3813.151518795831
TG_B_J_20230317,3903.866973017287
TG_B_J_20230318,3235.4074018582783
TG_B_J_20230319,-74.70373209698869
TG_B_J_20230320,3869.31775771329
TG_B_J_20230321,4078.3438328455322
TG_B_J_20230322,4068.593880613452
TG_B_J_20230323,4286.956448418708
TG_B_J_20230324,4453.284654977555
TG_B_J_20230325,3854.855573932505
TG_B_J_20230326,607.1176513161101
TG_B_J_20230327,4603.912480636919
TG_B_J_20230328,4854.351761055468
TG_B_J_20230329,4873.123147728832
TG_B_J_20230330,5105.853317004403
TG_B_J_20230331,5271.438789988402
TG_B_S_20230304,3658.070249040907
TG_B_S_20230305,183.69335182300415
TG_B_S_20230306,3903.287735399481
TG_B_S_20230307,4235.362762753616
TG_B_S_20230308,4070.632024972438
TG_B_S_20230309,4166.2871036183005
TG_B_S_20230310,4119.237182950109
TG_B_S_20230311,3819.914906173702
TG_B_S_20230312,342.7657970957572
TG_B_S_20230313,4065.6177488326143
TG_B_S_20230314,4406.945843419559
TG_B_S_20230315,4257.253272412287
TG_B_S_20230316,4373.348635597944
TG_B_S_20230317,4351.593730681898
TG_B_S_20230318,4081.722056586074
TG_B_S_20230319,637.3450616472185
TG_B_S_20230320,4395.342235550763
TG_B_S_20230321,4773.149804285493
TG_B_S_20230322,4660.168203596026
TG_B_S_20230323,4812.0679392996535
TG_B_S_20230324,4824.067220936229
TG_B_S_20230325,4584.78082626704
TG_B_S_20230326,1166.7564442638306
TG_B_S_20230327,4945.893812622384
TG_B_S_20230328,5338.760648854179
TG_B_S_20230329,5234.024831336039
TG_B_S_20230330,5386.781780845894
TG_B_S_20230331,5391.849848659065
TG_C_J_20230304,4217.313658510897
TG_C_J_20230305,-472.5394562844749
TG_C_J_20230306,4209.355151490273
TG_C_J_20230307,4421.549036477986
TG_C_J_20230308,4487.737699244154
TG_C_J_20230309,4350.475960752978
TG_C_J_20230310,4675.457265408115
TG_C_J_20230311,4471.585888437181
TG_C_J_20230312,-154.08472029519385
TG_C_J_20230313,4594.656349633196
TG_C_J_20230314,4874.181849537663
TG_C_J_20230315,5005.928858366434
TG_C_J_20230316,4930.180342233813
TG_C_J_20230317,5310.412336049785
TG_C_J_20230318,5153.433771830207
TG_C_J_20230319,564.3902170397521
TG_C_J_20230320,5337.833397778053
TG_C_J_20230321,5628.780823828106
TG_C_J_20230322,5757.6658406107845
TG_C_J_20230323,5664.157586974582
TG_C_J_20230324,6011.536164397497
TG_C_J_20230325,5806.849080481526
TG_C_J_20230326,1155.919581527928
TG_C_J_20230327,5854.408433798854
